date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20241019,0,SO2,2,1,4,1,3,3,3,3,1,3,3,3,3,3,3,3,3,1,3,5,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3
20241019,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241019,0,NO2,10,9,14,10,13,9,20,8,11,8,5,11,3,2,8,10,6,3,6,3,2,6,5,9,7,7,8,11,11,17,18,12,14,13,9
20241019,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241019,0,O3,63,66,52,63,51,62,52,54,51,53,60,53,63,53,51,48,44,68,68,67,66,56,64,65,63,56,64,63,62,59,44,70,61,58,54
20241019,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241019,0,CO,0.2,0.1,0.3,0.2,0.5,0.1,0.2,0.2,0.3,0.1,0.2,0.2,0.1,0.4,0.1,0.2,0.2,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1
20241019,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241019,1,SO2,2,1,4,1,4,3,2,3,1,2,3,3,3,3,1,3,3,1,3,5,3,1,1,3,1,3,3,3,3,3,3,3,4,3,3
20241019,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241019,1,NO2,8,9,14,11,15,11,20,7,12,8,6,11,3,2,7,5,6,1,6,3,2,6,4,10,11,6,10,13,13,21,10,13,14,15,9
20241019,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241019,1,O3,64,64,56,63,48,57,51,56,52,52,56,50,62,51,50,51,48,68,65,64,63,54,63,61,56,55,61,60,57,54,55,67,58,55,53
20241019,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241019,1,CO,0.2,0.1,0.3,0.1,0.4,0.2,0.2,0.2,0.3,0.1,0.1,0.2,0.1,0.4,0.1,0.2,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1
20241019,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241019,2,SO2,2,1,5,1,4,3,2,3,1,2,3,3,3,3,2,3,3,1,3,4,3,1,3,3,1,1,3,1,1,1,3,3,4,3,3
20241019,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241019,2,NO2,9,10,16,11,16,13,23,9,16,8,5,12,3,2,8,3,5,2,5,2,1,6,4,8,9,7,12,14,11,16,10,13,14,16,9
20241019,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241019,2,O3,61,61,53,60,47,51,48,52,47,52,55,46,59,49,48,53,50,66,62,62,61,50,59,60,55,52,55,55,56,56,53,64,57,55,53
